Channel-0,Channel-1,Channel-2,Channel-3,Channel-4,Channel-5,Channel-6,Channel-7,Channel-8,Channel-9,Channel-10,Channel-11,Channel-12,Channel-13,Channel-14,Channel-15,Channel-16,Channel-17,Channel-18,Channel-19,Channel-20,Channel-21,Channel-22,Channel-23,Channel-24,Channel-25,Channel-26,Channel-27,Channel-28,Channel-29,Channel-30,Channel-31,Channel-32
0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.5,92.8,91.8,92.1,91.8,92.1,89.6,-,-,-,-,-,-,-,-,-
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.5,92.8,91.8,92.1,91.8,92.1,89.6,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.5,93.2,92.1,92.1,92.5,92.1,89.3,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.5,93.2,92.1,92.1,92.5,92.1,89.3,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.4,93.9,91.8,92.1,91.4,92.5,90.0,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.4,93.9,91.8,92.1,91.4,92.5,90.0,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,92.1,91.4,91.4,91.4,91.8,89.6,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,92.1,91.4,91.4,91.4,91.8,89.6,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,92.1,91.4,91.4,91.4,91.8,89.6,-,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.4,94.3,91.4,91.4,91.8,91.8,89.6,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.4,94.3,91.4,91.4,91.8,91.8,89.6,-,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.6,92.9,91.5,91.5,91.9,92.2,89.0,-,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.6,92.9,91.5,91.5,91.9,92.2,89.0,-,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.6,92.9,91.5,91.5,91.9,92.2,89.0,-,-,-,-,-,-,-,-,-
14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.4,92.1,91.4,91.8,91.8,91.8,89.6,-,-,-,-,-,-,-,-,-
15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.4,92.1,91.4,91.8,91.8,91.8,89.6,-,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.5,93.5,91.4,91.8,91.8,92.1,89.3,-,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.5,93.5,91.4,91.8,91.8,92.1,89.3,-,-,-,-,-,-,-,-,-
18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,92.5,91.8,91.4,92.1,91.8,89.6,-,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,92.5,91.8,91.4,92.1,91.8,89.6,-,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,92.5,91.8,91.4,92.1,91.8,89.6,-,-,-,-,-,-,-,-,-
21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,92.5,91.8,91.4,91.8,92.1,89.3,-,-,-,-,-,-,-,-,-
22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,92.5,91.8,91.4,91.8,92.1,89.3,-,-,-,-,-,-,-,-,-
23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,92.5,91.8,91.4,91.8,92.1,89.3,-,-,-,-,-,-,-,-,-
24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.6,92.2,91.5,91.5,91.5,91.9,89.4,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.6,92.2,91.5,91.5,91.5,91.9,89.4,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.2,92.9,91.9,91.9,92.2,92.6,89.7,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.2,92.9,91.9,91.9,92.2,92.6,89.7,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.9,91.9,91.1,91.9,91.5,92.2,89.4,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.9,91.9,91.1,91.9,91.5,92.2,89.4,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.9,91.9,91.1,91.9,91.5,92.2,89.4,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.1,93.6,90.8,91.1,91.9,91.9,89.7,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.1,93.6,90.8,91.1,91.9,91.9,89.7,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.0,93.5,91.0,91.4,91.4,91.4,89.6,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.0,93.5,91.0,91.4,91.4,91.4,89.6,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.0,93.5,91.0,91.4,91.4,91.4,89.6,-,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.9,92.6,91.5,91.5,91.9,92.6,90.1,-,-,-,-,-,-,-,-,-
37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.9,92.6,91.5,91.5,91.9,92.6,90.1,-,-,-,-,-,-,-,-,-
38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.4,94.3,91.4,91.4,92.1,91.8,89.3,-,-,-,-,-,-,-,-,-
39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.4,94.3,91.4,91.4,92.1,91.8,89.3,-,-,-,-,-,-,-,-,-
40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.6,91.9,91.5,91.5,91.9,91.9,89.7,-,-,-,-,-,-,-,-,-
41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.6,91.9,91.5,91.5,91.9,91.9,89.7,-,-,-,-,-,-,-,-,-
42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.6,91.9,91.5,91.5,91.9,91.9,89.7,-,-,-,-,-,-,-,-,-
43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.5,93.6,91.9,91.9,92.2,91.9,89.4,-,-,-,-,-,-,-,-,-
44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.5,93.6,91.9,91.9,92.2,91.9,89.4,-,-,-,-,-,-,-,-,-
45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.4,93.5,91.4,91.8,91.8,92.1,90.0,-,-,-,-,-,-,-,-,-
46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.4,93.5,91.4,91.8,91.8,92.1,90.0,-,-,-,-,-,-,-,-,-
47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.4,93.5,91.4,91.8,91.8,92.1,90.0,-,-,-,-,-,-,-,-,-
48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,92.1,91.8,91.4,92.1,92.1,89.6,-,-,-,-,-,-,-,-,-
49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,92.1,91.8,91.4,92.1,92.1,89.6,-,-,-,-,-,-,-,-,-
50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.8,93.3,91.5,91.9,91.9,91.9,90.1,-,-,-,-,-,-,-,-,-
51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.8,93.3,91.5,91.9,91.9,91.9,90.1,-,-,-,-,-,-,-,-,-
52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.8,93.3,91.5,91.9,91.9,91.9,90.1,-,-,-,-,-,-,-,-,-
53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,93.5,91.4,91.0,91.8,92.1,89.3,-,-,-,-,-,-,-,-,-
54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.1,93.5,91.4,91.0,91.8,92.1,89.3,-,-,-,-,-,-,-,-,-
55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.2,92.6,91.5,92.2,91.9,92.2,89.0,-,-,-,-,-,-,-,-,-
56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.2,92.6,91.5,92.2,91.9,92.2,89.0,-,-,-,-,-,-,-,-,-
57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.2,92.6,91.5,92.2,91.9,92.2,89.0,-,-,-,-,-,-,-,-,-
58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.5,93.3,91.1,91.1,91.9,91.9,89.7,-,-,-,-,-,-,-,-,-
